"","-*","Input file number","Language(s) of the main text","Other Language(s) in the main text","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Text Format","Publisher","Copyright owner","Location of printing-","Colophon","Uuree"
"24","M0057899-011","W1NLM5-I1NLM5","Tibetan","N","*, ,RLUNG RTA'I LHA LA BSANGS MCHOD 'BUL TSUL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-4A","29.5x6","35x8","MS",NA,NA,NA,NA,"Uuree"
"25","M0057899-012","W1NLM5-I1NLM5","Tibetan","N","*, ,BSE RAG 'BYUNG PO'I GNOD PA ZHI BAR BYED PA'I THABS ZAB MO BZHUGS SO, ,","NGAG DBANG,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-10A","29.5x6","35x8","MS",NA,NA,NA,"@010A *, ,(ZHES PA 'DI NI NGAG DBANG PAS BRIS PA'O,, ,,)","Uuree"
"26","M0057899-013","W1NLM5-I1NLM5","Tibetan","N","*, ,GLUD GTOR GTO BCOS CI RIGS KYI THOG MTHAR SBYOR RGYU'I YAN LAG 'GA' ZHIG BZHUGS SO, ,","WA KINTRA,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-9B","29.5x6","35x8","MS",NA,NA,NA,"@009A *, ,('DI YANG 'PHRAL DU NYER MKHO STABS BDE CHEN WA KINTRAS KHUNGS @009B LDAN GYI YIG CHA RNAMS LAS BTUS TE SPEL PA'O, ,)","Uuree"
"27","M0057899-014","W1NLM5-I1NLM5","Tibetan","N","*, ,SA BDAG CHAB GTOR GTONG TSUL RKYEN NGAN KUN SEL ZHES BYA BA BZHUGS SO, ,","CHOS MDZAD BLA MING 'CHANG,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-7A","29.5x6","35x8","MS",NA,NA,NA,"@007A *, ,(ZHES SA BDAG CHAB GTOR TU GRAGS PA 'DI'I NGAG 'DON PHAL CHER YIG RNYING LTAR LA, CUNF ZAD BCOS PA 'DI CHOS MDZAD BLA MING 'CHANG BAS BSGRIGS PA'I DGE BAS 'GRO BA MANG PO LA PHAN THOGS PAR GYUR CIG , ,,)","Uuree"
"28","M0057899-015","W1NLM5-I1NLM5","Tibetan","N","*, ,LAN CHAGS GTOR MA GTONG TSUL YUNGS 'BRU'I LHUN PO ZHES BYA BA BZHUGS SO, ,","NGAG DBANG,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-16A","29.5x6","35x8","MS",NA,NA,NA,"@015B (DE'ANG RJE BLA MAS NYAMS LEN GANG LA'ANG GO BAS LEGS PAR PHYED PA DANG MA PHYED PA GNYIS PA PHAN YON CHE CHUNG GI KHYAD PAR SHIN TU CHE BAR YANG YANG GSUNGS PA BZHIN, NYE CHAR LAN CHAGS GTOR MA GTONG TSUL CUNG ZAD DMIGS PHYED PAR BYAS PA'I YUNGS 'BRU LHUN PO ZHES BYA BA 'DI YANG, BU LON DKOR GYI PHUN PO BTZUN GZUGS ^NGAG DBANG PAS RANG NYID KYI KYI LAN CHAGS BSRAB @016A *, ,PA'I CHA RKYEN RGYUN 'KHYER DU GSUNG RAB DU MA LAS BTUS TE SUG LAS SU BGYIS PA'O,, ,,)","Uuree"
"29","M0057899-016","W1NLM5-I1NLM5","Tibetan","N","*, ,GRUB CHEN LCE SGOM PA'I 'CHI BLU'I GTOR MA BZHUGS SO, ,","SH'A SA NA D'I PAm,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-4B","29.5x6","35x8","MS",NA,NA,NA,"@004B (ZHES PA 'DI BTZUN GZUGS SH'A SA NA D'I PAm ZHES BYA BAS SBYAR BA'O, ,'DIS KYANG 'GRO BA MANG PO LA PHAN THOGS PAR GYUR CIG , ,BKRA SHIS PAR GYUR CIG , ,,)","Uuree"
"30","M0057899-017","W1NLM5-I1NLM5","Tibetan","N","*, ,DPAL LDAN LHA MO'I MDOS GLUD BZHUGS SO, ,","YONGS 'DZIN RDO RJE 'CHANG,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-5B","29.5x6","35x8","MS",NA,NA,NA,"@005B (CHO GA 'DI NI, ^BRAG RI YONGS 'DZIN RDO RJE 'CHANG GI GSUNG THOR GYI GRAS LAGS SO,, ,,)","Uuree"
"31","M0057899-018","W1NLM5-I1NLM5","Tibetan","N","*, ,LO MA GYON MA RIGS GSUM GYI BSGOM BZLAS RGYUN 'KHYER MA BZHUGS SO, ,","DAM TSIG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-3A","29.5x6","35x8","MS",NA,NA,NA,"@003A *, ,(LO MA GYON MA RIGS GSUM GYI, ,BSGOM BZLAS RGYUN 'KHYER MDOR BSDUS 'DI, ,BTZUN GZUGS DAM TSIG RDO RJES BRIS, ,DGE BAS 'GRO KUN BDE THOB SHOG , ,,AA ROKshA)","Uuree"
"32","M0057899-019","W1NLM5-I1NLM5","Tibetan","N","*, ,BA RI LUGS KHRO BO RME BRTZEGS DUD KHA'I BSGOM BZLAS 'KHYER BDE ZHES BYA BA BZHUGS SO, ,","DAM TSIG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-2B","29.5x6","35x8","MS",NA,NA,NA,"@002B (ZHES PA'ANG RANG GZHAN GYI DON DU RJE BTZUN SA PAn SOGS GYI YIG CHA DANG MTHUN PAR DAM TSIG RDO RJES BRIS PA'O,, ,,)","Uuree"
"33","M0057899-020","W1NLM5-I1NLM5","Tibetan","N","*, , ME MCHOD KYI CHO GA 'KHYER BDE BKRA SHIS DPAL 'BAR ZHES BYA BA BZHUGS SO, ,","DAM TSIG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-5B","29.5x6","35x8","MS",NA,NA,NA,"@005B (CES ME MCHOD BYA TSUL MDOR BSDUS BKRA SHIS DPAL 'BAR ZHES BYA BA 'DI NI, RANG GI SLOB MA DPYOD LDAN DBU MDZAD DGE SLONG RDO RJE'I MING CAN NAS PHYOGS 'DIR ME MCHOD KYI SROL KUN TU DAR YANG, MCHOD THABS YID BRTAN RUNG BA ZHIG MI SNANG BAS KHUNGS LDAN 'KHYER BDE'I CHOG ZHIG CIS KYANG DGOS ZHES NAN TAN TU BSKUL BA LTAR TSAD THUB KYI DAM PA GONG MA'I MAN NGAG GI PHYAG SROL DANG SGO BSTUN TE, ^DAM TSIG RDO RJES GA-YANG KHRAL TZAM DU BRIS PA 'DIS KYANG SKYE 'GRO MANG PO LA PHAN THOGS PAR GYUR CIG , DGE LEGS 'PHEL,, ,,)","Uuree"
"34","M0057899-021","W1NLM5-I1NLM5","Tibetan","N","*, ,KHA 'BAR MA DKAR MO'I SGO NAS 'CHI BLU BYA TSUL BZHUGS SO, ,","CHOS KYI DBANG PHYUG",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-4B","29.5x6","35x8","MS",NA,NA,NA,"@004A *, ,(ZHES KHA 'BAR MA DKAR MO'I SGO NAS 'CHI BLU BYA THABS @004B DANG BAR CHAD BZLOG THABS 'DI NYID AU RGYAN RIN PO CHES MDZAD NAS LHO BRAG GNAM SKAS CAN DU KLU BDUD NAG PO'I LTO BAR SBAS PHYIS GU RU CHOS KYI DBANG PHYUG GIS BTON NAS GDAN DRANGS PA'I GTER GZHUNG LTAR, RIG 'DZIN NGAG GI DBANG PO'I SDES KONG LONG MTSAMS KYI DING THANG ZHES PA AE WAm LCANG SGAR DU CHOG BSGRIGS SU MDZAD PA'O, ,BKA' DRIN GSUM LDAN GYI BLA MA KHYAB BDAG BDE BA'I RDO RJES CHOG BSGRIGS MDZAD PA YIN PAS YID CHES PAR MDZOD CIG ,'DI'I LUNG NI KHYAB BDAG RDO RJE 'CHANG NAS ZHUS PA'O,, ,,","Uuree"
"35","M0057899-022","W1NLM5-I1NLM5","Tibetan","N","*, ,RJE BTZUN SENG GE SGRA LA BRTEN PA'I KLU DANG SA BDAG GI GDON 'GROL GYI CHO GA NYER BSDUS NAD GDON KUN SEL PHAN BDE'I BDUD RTZI ZHES BYA BA BZHUGS SO, ,","DAM TSIG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-26A","29.5x6","35x8","MS",NA,NA,NA,"@026A *, ,(CES RJE BTZUN SENG GE SGRA LA BRTEN PA'I KLU DANG SA BDAG GI GDON GROL GYI CHO GA NYER BSDUS NAD GDON KUN SEL PHAN BDE'I BDUD RTZI ZHES BYA BA 'DI NI, NAD PA SOGS KYI DON DU 'PHRAL DU SGRUB DGOS PA'I SKABS DU MAR CHO GA ZOR YANG BA 'DI LTA BU ZHIG MKHO CHE BAR MTHONG NAS, RGYAL KHAMS PA ^DAM TSIG RDO RJES ^RJE BTZUN GONG MA'I GSUNG LA KHA SKANGS CUNG ZAD SBYAR TE BKLAG CHOG TU BKOD PA'I YI GE PA NI DPYOD LDAN DGE SLONG DGE 'DUN DAR RGYAS SO, , 'DIS KYANG 'GRO BA MANG PO LA PHAN THOGS PAR GYUR CIG , ,BKRA SHIS, ,)","Uuree"
"36","M0057899-023","W1NLM5-I1NLM5","Tibetan","N","*, ,RLUNG RTA BSKYED PA'I MDOS CHOG 'DOD DON LHUN GRUB CES BYA BA BZHUGS SO, ,","NO MON HAN,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-11B","29.5x6","35x8","MS",NA,NA,NA,"@011B (ZHES PA 'DI YANG SLOB DPON PADMA KA RA'I HAS PO RI YI LOGS KYI DUR KHROD BRAG KHUNG NAG POR GTER TU SBAS PA'I MAN NGAG ZAB MO MDOS CHOG SNA TSOGS LTOS SGRO SA MA YA BSGYUR CHEN DGA' BA'I LTAN MO LAS KHOL DU PHYUNG STE DGONGS DON DANG MI 'GAL BAR MKHYER BDE BKLAG MCHOG GI TSUL DU ^NO MON HAN MING PAS BKOD PA 'DIS KYANG BSTAN 'GRO LA PHAN THOGS PAR GYUR CIG , ,,)","Uuree"
"37","M0057899-024","W1NLM5-I1NLM5","Tibetan","N","*, , RGYAL GSOL MDOR SDUS DREGS PA MNYES BYED CES BYA BA BZHUGS SO, ,","NO MON HAN,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-3A","29.5x6","35x8","MS",NA,NA,NA,"@003A *, ,(ZHES RGYAL GSOL MDOR SDUS DREGS PA MNYES BYED CES BYA BA 'DI NI ^CHEN PO HOR GYI YUL GRU'I MA GHA TA BZANG MO WI SHAR nA'I GSUNG GIS BSKUL BA DANG DU BLANGS TE, NO MON HAN MING PAS 'GAL MED 'KHYER BDE'I LUGS SU BRIS TE PHUL BA DZA YANTU,, ,,)","Uuree"
"38","M0057899-025","W1NLM5-I1NLM5","Tibetan","N","*, ,DAG SNANG 'KHRUGS SKONG 'KHYER BDE BA BZHUGS SO, ,","RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-3A","29.5x6","35x8","MS",NA,NA,NA,"@003A *, ,(ZHES PA YANG ^GA-YUNG MGON RDO RJES RANG NYID KYI 'KHRUK RTOG GI 'CHAR SGOR JI LTAR SHAR BA'I GZHUNG DANG BSTUN TE, 'KHRUGS SKONG STONG TSAR SOGS MANG DU BSAGS PA LA PHAN PAR BSAMS TE BKOD PA'O,, ,,)","Uuree"
"39","M0057899-026","W1NLM5-I1NLM5","Tibetan","N","*, ,RJE BTZUN SGROL MA LA MAndAL BZHI'I MCHOD KYI SGO NAS GSOL BA GDAB TSUL GYI CHO GA GSAL BAR BKOD PA 'DOD DON KUN 'GRUB CES BYA BA BZHUGS SO, ,","DAM TSIG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Medium","Good","V:N","1A-13A","29.5x6","35x8","MS",NA,NA,NA,"@012B (CES RJE BTZUN SGROL MA LA MAndAL BZHI MCHOD KYI SGO NAS GSOL BA GDAB TSUL GYI CHO GA GSAL BAR BKOD PA 'DOD DON KUN 'GRUB CES BYA BA 'DI NI, RANG GZHAN GYI DON DU SGROL CHOG YANG YANG LAG TU BSTAR SKABS CHOG SGRIGS 'KHYER BDE BA DGOS TSUL BYUNG BAR BRTEN, MCHIMS KYI RTZA TSIG GZHIR BZHAG , SNAR THANG BA'I MAN NGAG BRGYA RTZAR MA 'DUS PA'I BKA' GDAMS GONG MA'I YIG RNYING KHUNGS MTHUN GZHAN 'GA' ZHIG LAS KYANG LAG LEN GYI ZHIB CHA CUNG ZAD BLANGS SHING, ,DAM PA SO SOS MDZAD PA'I CHOG SGRIGS DU MA LA YANG GZHIGS NAS, 'JUG BDE BKLAGS CHOG PA'I TSUL TU, MKHAS SHING GRUB PA'I BLA MA DAM PA RNAMS KYI BKA' DRIN KHO NAS 'TSO BA'I RGYAL KHAMS PA, ^DAM TSIG RDO RJES DPAL RI'I DGON GYI NYE 'DAB KYI DPEN GNAS SU RGYAL ZLA BA'I TSES BRGYAD KYI NYIN SBYAR BA'I YI GE PA NI RNAM DPYOD YANGS PA'I DGE BSHES DGE SLONG D'I RGH'A YU @013A *, ,BADZRA GYIS BGYIS PA'O, ,'DIS KYANG BSTAN 'GRO YONGS LA PHAN THOGS PAR GYUR CIG , BKRA SHIS DGE LEGS 'PHEL, ,)","Uuree"
"40","M0057899-027","W1NLM5-I1NLM5","Tibetan","N","*, ,RJE BTZUN MA KU RU KU LLE'I SGRUB THABS AUDPAL PHRENG BA ZHES BYA BA BZHUGS SO, ,","DHARMA BADZRA,",NA,NA,NA,NA,NA,NA,NA,"Wooden cover","Good","Good","V:N","1A-11A","22x6","26.5x7","MS",NA,NA,NA,"@011A *, ,(CES KHAMS GSUM DBANG BSDUD LHA MO KU RU KU LLE'I SGRUB THABS AUDPALA'I PHRENG BA CES BYA BA 'DI NI, LUGS GNYIS RNAM PAR DPYOD PA'I TO KER, RANG MNYAM GYI DREGS LDAN KUN GYI GTZUG TOR LAS MNGON PAR 'PHAGS PA'I MI YI DBANG PO HAR CHEN CHING WANG RATNA SIDDHIS SNGA MO NAS BSKUL ZHING, DUS PHYIS RANG GI SLOB MA 'GA' ZHIG DANG SBYIN BDAG TU GYUR BA'I DPAN PO CHE CHE PHRA 'GAS KYANG NAN TAN TU BSKUL BA LA BRTEN NAS, GTZUN GZUGS DHARMA BADZRA GYIS SBYIN PA'I BDAG PO THU MED PE'I ZE TSE BRTAN BKRA SHIS BSTE GNAS SU SBYAR BA DGE LEGS 'PHEL,, ,,)","Uuree"
"41","M0057899-028","W1NLM5-I1NLM5","Tibetan","N","*, ,RGYAL DBANG DKAL BZANG RGYA MTSO'I MDZAD PA THUGS RJE CHEN PO BCU GCIG GZHAL DPAL MO LUGS KYI DBANG GI RGYUD GSOL 'DEBS LA KHA BSKONG SBYAR TSUL DANG BCAS PA BZHUGS SO,, ,,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-3B","29.5x6","35x8","MS",NA,NA,NA,NA,"Uuree"
"42","M0057900-001","W1NLM6-I1NLM6","Tibetan","N","*, ,DPAL RDO RJE 'JIGS BYED LA BRTEN PA'I TSOGS KYI 'KHOR LO'I CHO GA BDE BA CHEN PO'I RGYA MTSO ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-5B","26.5x5","31x7.5","MS",NA,NA,NA,NA,"Uuree"
"43","M0057900-002","W1NLM6-I1NLM6","Tibetan","N","*, ,NA MO A'ARYA T'A RE YE, RJE BTZUN SGROL BA LJANG KHU'I SBYIN BSREG BYED PAR 'DOD PAS, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1B-8B","23.5x4.5","29x8","MS",NA,NA,NA,NA,"Uuree"
"44","M0057900-003","W1NLM6-I1NLM6","Tibetan","N","*, ,AOm BADZRA AA MRi TAS BSANGS, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-1A","25x6","35x8","MS",NA,NA,NA,NA,"Uuree"
"45","M0057900-004","W1NLM6-I1NLM6","Tibetan","N","*, ,KHRI MNGA' MDUD PHUR BU MYUR BYON 'DOD NA, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1B-4A","29.5x7.5","35x8","MS",NA,NA,NA,NA,"Uuree"
"46","M0057900-005","W1NLM6-I1NLM6","Tibetan","N","*, ,RJE BTZUN MA 'PHAGS MA GDUG DKAR GYI BSKANG BSHAGS ZHES BYA BA BZHUGS SO, ,","BLO BZANG CHOS KYI RGYAL MTSAN,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-5B","24x6","30x9","MS",NA,NA,NA,"@005B (ZHES PA 'DI NI RJE BTZUN DAM PA RDO RJE 'CHANG CHEN PO PO T'A RA NA THA'I ZHUS DAG MDZAD PA BYIN RLABS CHE ZHING BAR CHAD THAMS CAD BZLOGS PA'O, YANG GCIG LUGS SH'AKYA'I DGE SLONG BTZUN PA BLO BZANG CHOS KYIS RGYAL MTSAN GYIS SBYAR BA'O,, ,,DGE'O,,)","Uuree"
"47","M0057900-006","W1NLM6-I1NLM6","Tibetan","N","*, ,PHYAG NA RDO RJE GSHEGS GTOR 'BUL TSUL ZHES BYA BZHUGS S+HO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-4B","25x6","29x8","MS",NA,NA,NA,NA,"Uuree"
"48","M0057900-007","W1NLM6-I1NLM6","Tibetan","N","*, ,DPAL LDAN LHA MO REM TE'I MDOS GLUD CHOG PHAN 'DI 'BYUNG GNAS ZHES BYA BZHUGS SO, ,","BLO BZANG ZHI BA,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-7B","24x6.5","30x7.5","MS",NA,NA,NA,"@007B (DPAL LDAN DMAG ZOR MA BSTEN PA'I MDOS GLUD PHAN BDE KUN STZOL ZHES BYA BA 'DI YANG SHRI SE THU SOS RJE DGE SLONG BLO BZANG ZHI BAS DAM PA RNAMS KYI GSUNG RGYUN PHYAG LEN LTAR BGYIS PAS DGE LEGS 'PHEL BAR GYUR CIG , ,,)","Uuree"
"49","M0057900-008","W1NLM6-I1NLM6","Tibetan","N","*, ,RJE BTZUN 'JAM DBYANGS GYIS SGRUB THABS ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-2B","24x7.5","29.5x8","MS",NA,NA,NA,NA,"Uuree"
"50","M0057900-009","W1NLM6-I1NLM6","Tibetan","N","*, ,KONG RTZE GSOL MCHOD 'DOD YON SPRIN PHUNG ZHES BYA BA BZHUGS S+HO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Medium","Good","V:N","1B-5B","24x7.5","30x8","MS",NA,NA,NA,NA,"Uuree"
"51","M0057900-010","W1NLM6-I1NLM6","Tibetan","N","*, ,SHER SNYING GA'I BZLOG PA BGYUR BZHUGS SO,, ,,","CHOS KYI RGYAL PO,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-2B","2.5x6","29x8","MS",NA,NA,NA,"@002B ('DI NI THABS LA AER TE NI MKHAN CHEN CHOS KYI RGYAL POS SBYAR BA'O, ,BKRA SHIS,, ,,)","Uuree"
"52","M0057900-011","W1NLM6-I1NLM6","Tibetan","N","*, ,RGYA NAG SKAG BZLOG GYIS BZLOG BSGYUR BZHUGS S+HO,, ,,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-4A","24x6","30x8","MS",NA,NA,NA,"@004A *, ,(CES PA 'DI NI YANG RGYA NAG SKAG BZLOG BSGYUR NYI MTHA' RI PHYOGS NY DPON MO SPRUL SKU LA BZHU BAS SEMS CAN THAMS CAD KYIS DON GSUNGS MDZAD PA,, ,,BKRA SHIS PAR GYUR CIG , MANGGA LAm, ,)","Uuree"
"53","M0057900-012","W1NLM6-I1NLM6","Tibetan","N","*, ,LTAS DAN BRGYAD BCU RTZA GCIG BZLOG BSGYUR BZHUGS S+HO, ,","T'A RA N'A T'A,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-4B","24x6","30x8","MS",NA,NA,NA,"@004A *, ,(ROL MO'I CHE DRAG PO'I SGRA DAR BCAS PA DGRA YUL DU DMIG TE PHYIR SKYOL 'DI RJE BTZUN @004B RDO RJE'I 'CHANG CHEN PO'I T'A RA N'A TH'A ZHUS DAG MDZAD PA'I BYIN RLABS CHE ZHING BAR CHAD THAMS CAD BZLOG PA'O,, MANGGA LAm,, ,, BKRA SHIS PAR GYUR CIG , ,,DGE'O, ,)","Uuree"
"54","M0057900-013","W1NLM6-I1NLM6","Tibetan","N","*, ,PADMA 'BYUNG GNAS GZUNGS RAKshA LNGA'I BZLOG BSGYUR ZHES BYA BA BZHUGS SO,, ,,","SLOB DPON PADMA 'BYUNG GNAS,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-4A","24x6","30x8","MS",NA,NA,NA,"@004A *, ,(SLOB DPON PADMA 'BYUNG GNAS MDZAD PA BZHUGS SO,, BKRA SHIS, ,)","Uuree"
"55","M0057900-014","W1NLM6-I1NLM6","Tibetan","N","*, ,MGON PO SGO NAS 'CHI BSLU BYA TSUL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-3B","24x6","30x8","MS",NA,NA,NA,NA,"Uuree"
"56","M0057900-015","W1NLM6-I1NLM6","Tibetan","N","*, ,MGON PO PHYAG DRUG LA BRTEN 'GAL RKYEN PHYIR BZLOG MDOS GLUD ZHES BYA BA BZHUGS SO, ,","BSOD NAMS RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-4B","24x6","30x8","MS",NA,NA,NA,"@004A *, ,(MGON PO LA BRTEN PA'I GLUD RDZONGS SHIN TU BSDUS PA 'DI NI, DAM SKYED 'DZOM GRANG GI S'A RING S'O MO'I GR'A TSANGS DGA' LDAN CHOS 'KHOR GLING GI MCHOD DPON PO DGE SLONG BSOD NAMS GRAGS PA DANG DBU MDZAD DANG NGAG DBANG PHUL BYUNG GNYIS KYIS, ,MGON PO LA BRTEN PA'I GLUD RDZONGS BSDUS PA ZHIG BSGREGS ZER BA'I DO SRUNG PHYIR, ^CHOS RJE'I THA SHAL SKAL BZANG MING CAN BDAG GYIS, RJE BTZUN THAMS CAD MKHYEN PA BSOD NAMS RGYA MTSO MDZAD PA'I MGON PO LA BRTEN PA'I BZLOG BSGYUR LA DES BLANG TE BSGRIGS PA LA SBYAN LDAN MKHAS PA'I TSOGS KYI MZOD PAR MDZOD, ,DGE BA 'GRO RNAMS GLO BUR BAR COD NAD LAS GROL GYUR CIG , YI GE PA NI SHE DAR PI LEGS THU DBU MDZAD @004B BLO BZANG RIG GROL LO,, DGE'O,, BKRA SHIS,, MANGGA LAm,, ,,)","Uuree"
"57","M0057900-016","W1NLM6-I1NLM6","Tibetan","N","*, ,BLA MA YI DAM DPAL PHYAG NA RDO RJE BZLOG BSGYUR ZHES BYA BA BZHUGS SO,, ,,","PHYAG RDOR,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-6A","24x6","30x8","MS",NA,NA,NA,"@006A *, ,(CES PA 'DI NI CHOS SKYONGS PHYAG RDOR GYI RTZA BRGYUD LAS 'BYUNG BA LEGS PA BGYIS GZHUGS SO, ,BKRA SHIS, ,DGE'O,, ,,)","Uuree"
"58","M0057900-017","W1NLM6-I1NLM6","Tibetan","N","*, ,DAM CAN CHOS RGYAL GYI SGO NAS SROG GLUD ZHES BYA BA BZHUGS SO, ,","SU MIDHA 'CHANG,",NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-4B","24x6","30x8","MS",NA,NA,NA,"@004B (CHOS KYI RGYAL PO LA BRTEN NAS GDON DANG BGRA BGEGS KYIS ZHI BAR BYED PA'I ZHES BYA BA, 'DI NI SU MIDHA 'CHANG GIS BRIS PA'O, ,MANGGA LAm, ,)","Uuree"
"59","M0057900-018","W1NLM6-I1NLM6","Tibetan","N","*, ,BYIS PA'I SROG GLUD PA ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-3A","24x6","30x8","MS",NA,NA,NA,NA,"Uuree"
"60","M0057900-019","W1NLM6-I1NLM6","Tibetan","N","*, ,SME BA GNYIS NAG GI BCOS THABS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-2A","24x6","30x8","MS",NA,NA,NA,NA,"Uuree"
"61","M0057900-020","W1NLM6-I1NLM6","Tibetan","N","*, ,GANG PHYUGS NU MA 'O MA NYES BYUNG BCOS THABS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-2B","24x6","30x8","MS",NA,NA,NA,"@002B (BYIN RLABS PHYUGS LA 'THOR NA BZANG CES GSUNG PHYIR SHES PAR BYA, 'DI NI PAD DKAR ZHAL LUNG GIS SO GNYIS LE'U NAS BRIS PA'O, ,SA MA YA RGYA RGYA RGYA ; BKRA SHIS, ,)","Uuree"
"62","M0057900-021","W1NLM6-I1NLM6","Tibetan","N","NO TITLE [@001B H'Um BLA MA MCHOG DANG BSHAGS PAR BGYI, H'Um BDE STONG MCHOG GI BYUNG ROL BA LAS, ,]",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1B-2B","19x7","21.5x8.5","MS",NA,NA,NA,NA,"Uuree"
"63","M0057900-022","W1NLM6-I1NLM6","Tibetan","N","*, ,KEG BSGYUR ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-4B","23.5x6","28x7","MS",NA,NA,NA,NA,"Uuree"
"64","M0057900-023","W1NLM6-I1NLM6","Tibetan","N","*, RGYAL MDOS BZHUGS SHO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-8A","24x5.5","27.5x7.5","MS",NA,NA,NA,NA,"Uuree"
"65","M0057900-024","W1NLM6-I1NLM6","Tibetan","N","*, ,PHYAG RDOR GOS SNGON CAN GYI BSGRUB THABS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"Paper cover","Good","Good","V:N","1A-3B","26x5.5","29x7.5","MS",NA,NA,NA,NA,"Uuree"
